date,symbol,side,qty,gross_krw,reason
2025-02-24,018290.KS,sell,680,25215386.000000004,rebalance_sell
2025-02-24,267260.KS,sell,13,4593202.25,rebalance_sell
2025-02-24,PLTR,sell,268,34839032.64577458,rebalance_sell
2025-02-24,006060.KS,buy,779,3865771.9199999995,rebalance_buy
2025-02-24,1211.HK,buy,1452,34716664.35884793,rebalance_buy
2025-02-24,196170.KQ,buy,90,34487235.0,rebalance_buy
2025-02-24,375500.KS,buy,440,17388690.0,rebalance_buy
2025-04-01,006060.KS,sell,7003,33632590.2925,rebalance_sell
2025-04-01,042660.KS,sell,732,50702236.2,rebalance_sell
2025-04-01,196170.KQ,sell,90,33418282.5,rebalance_sell
2025-04-01,375500.KS,sell,440,18184903.000000004,rebalance_sell
2025-04-01,1211.HK,buy,345,8401969.20642973,rebalance_buy
2025-04-01,211050.KQ,buy,6256,43751304.72,rebalance_buy
2025-04-01,271560.KS,buy,370,43718848.49999999,rebalance_buy
2025-04-01,278470.KS,buy,618,43714446.3,rebalance_buy
2025-07-01,1211.HK,sell,1797,38220860.54554447,rebalance_sell
2025-07-01,271560.KS,sell,370,41308335.5,rebalance_sell
2025-07-01,032350.KS,buy,3114,53961447.24,rebalance_buy
2025-07-01,119850.KQ,buy,877,31500042.15,rebalance_buy
2025-08-11,278470.KS,sell,78,17619186.0,retained_cap_trim
2025-10-01,119850.KQ,sell,877,27874655.700000003,rebalance_sell
2025-10-01,211050.KQ,sell,6256,78786187.2,rebalance_sell
2025-10-01,032350.KS,buy,555,9878386.725,rebalance_buy
2025-10-01,356860.KQ,buy,1111,65248307.85,rebalance_buy
2025-10-01,475960.KQ,buy,1046,54942457.5,rebalance_buy
2026-01-02,032350.KS,sell,3669,82877940.3,rebalance_sell
2026-01-02,278470.KS,sell,540,125757090.0,rebalance_sell
2026-01-02,356860.KQ,sell,1111,65405181.050000004,rebalance_sell
2026-01-02,475960.KQ,sell,1046,51489742.25,rebalance_sell
2026-01-02,012330.KS,buy,179,66084025.5,rebalance_buy
2026-01-02,122640.KQ,buy,3565,66163815.37499999,rebalance_buy
2026-01-02,218410.KQ,buy,1887,66172419.675000004,rebalance_buy
2026-01-02,GLW,buy,505,66134943.876283854,rebalance_buy
2026-01-02,LITE,buy,118,65806538.16491247,rebalance_buy
2026-04-01,012330.KS,sell,179,72906028.75,rebalance_sell
2026-04-01,122640.KQ,sell,3565,72689637.00000001,rebalance_sell
2026-04-01,356860.KQ,buy,1589,114624183.45,rebalance_buy
2026-04-01,475960.KQ,buy,644,37177379.4,rebalance_buy
